 [1,]  0.07728  0.01927  0.05122
 [2,] -0.00030 -0.00457 -0.00482
 [3,]  0.07792  0.01906  0.05109
 [4,]  0.00089 -0.00391 -0.00565
 [5,]  0.07675  0.01933  0.05154
 [6,] -0.00004 -0.00269 -0.00814
 [7,]  0.07706  0.01898  0.05197
 [8,] -0.00300 -0.00416 -0.00871


 [9,]  0.05560  0.01360  0.03671
[10,] -0.00104 -0.00309 -0.00444
[11,]  0.05476  0.01376  0.03771
[12,] -0.00055 -0.00415 -0.00308
[13,]  0.05604  0.01371  0.03716
[14,]  0.00063 -0.00509 -0.00806
[15,]  0.05608  0.01376  0.03570
[16,]  0.00280 -0.00433 -0.00485


[17,]  0.07655  0.01932  0.05307
[18,]  0.00142 -0.00319 -0.00228
[19,]  0.07652  0.01946  0.05363
[20,] -0.00069 -0.00021 -0.00537
[21,]  0.07663  0.01944  0.05162
[22,] -0.00136 -0.00352 -0.00731
[23,]  0.07585  0.01883  0.05250
[24,] -0.00057 -0.00277 -0.00756



[25,]  0.05534  0.01371  0.03754
[26,] -0.00167 -0.00362 -0.00209
[27,]  0.05626  0.01385  0.03716
[28,]  0.00280 -0.00503 -0.00760
[29,]  0.05494  0.01378  0.03672
[30,]  0.00001 -0.00219 -0.00895
[31,]  0.05577  0.01391  0.03690
[32,]  0.00053 -0.00394 -0.00630


[33,]  0.05604  0.01361  0.03950
[34,]  0.00001 -0.00211 -0.00423
[35,]  0.05400  0.01366  0.03883
[36,]  0.00132 -0.00242 -0.00184
[37,]  0.05526  0.01373  0.03899
[38,]  0.00149 -0.00122 -0.00377
[39,]  0.05597  0.01364  0.03842
[40,]  0.00347 -0.00224 -0.00141


[41,]  0.03573  0.00884  0.02372
[42,] -0.00133 -0.00317 -0.00498
[43,]  0.03674  0.00890  0.02419
[44,] -0.00099 -0.00428 -0.00384
[45,]  0.03572  0.00876  0.02385
[46,] -0.00200 -0.00198 -0.00358
[47,]  0.03590  0.00877  0.02352
[48,]  0.00211 -0.00312 -0.00439


[49,]  0.03621  0.00898  0.02463
[50,]  0.00184 -0.00272 -0.00373
[51,]  0.03639  0.00889  0.02463
[52,]  0.00179 -0.00251 -0.00543
[53,]  0.03542  0.00882  0.02489
[54,] -0.00250 -0.00136 -0.00353
[55,]  0.03580  0.00877  0.02481
[56,] -0.00082 -0.00110 -0.00684
